17/12/2021                         	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
ITX FX 2032 (New)                  	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
TB                                 	Schedule   	Real       	Type           	Duration   	Comments	Offset     	^	SOD\EOD Overrun\Underrun	PR	Comments	Product                               	Version                     	Total Avail Used                     	Media Item    	Video Source            	Event Control 
                                   	           	16:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	           	16:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    76000141 - Media 3  	0 	        	SKY MKT - BTCEL Chava Celular PM      	76000141 - Media 3          	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076000141	iTX                     	Auto Play     
                                   	17:00:00.00	17:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	17:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	17:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	17:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	17:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	17:58:00.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    SUBUR12MSIJUGUETRO  	0 	        	HAVAS MEDIA                           	SUBUR12MSIJUGUETRO          	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015187013	iTX                     	Manual Trigger
                                   	           	17:58:10.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    NIVEA 10            	0 	        	NA                                    	NIVEA 10                    	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015183642	iTX                     	Auto Play     
                                   	           	17:58:20.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    CANDIPCARASIMIOC21  	0 	        	MARCAS DE RENOMBRE                    	CANDIPCARASIMIOC21          	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015184545	iTX                     	Auto Play     
                                   	           	17:58:40.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353101   	0 	        	SKY MKT - Chica Control               	Alta 6 - 77353101           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353101	iTX                     	Auto Play     
                                   	           	17:59:10.00	Promotion      	00:00:20.00	        	00:00:00.00	 	    76601601            	0 	        	ID 20" Gen SKY 19 NL V2 Filler        	76601601                    	Used: 00:00:00.00    Rem: 00:00:20.00	SKSP-076601601	iTX                     	Auto Play     
                                   	           	17:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    76000141 - Media 3  	0 	        	SKY MKT - BTCEL Chava Celular PM      	76000141 - Media 3          	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076000141	iTX                     	Auto Play     
                                   	18:00:00.00	18:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	18:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	18:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	18:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	18:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	18:58:00.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    FAMILIAANDATTI      	0 	        	PROMOTORA DE MEDIOS                   	FAMILIAANDATTI              	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015189248	iTX                     	Manual Trigger
                                   	           	18:58:20.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    CANDIPCARASIMIOC21  	0 	        	MARCAS DE RENOMBRE                    	CANDIPCARASIMIOC21          	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015184545	iTX                     	Auto Play     
                                   	           	18:58:40.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    LCPNFLBBQSTIX10S    	0 	        	CARAT                                 	LCPNFLBBQSTIX10S            	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015188574	iTX                     	Auto Play     
                                   	           	18:58:50.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    TARJETASDEREGALOP13 	0 	        	PROMOTORA DE MEDIOS                   	TARJETASDEREGALOP13         	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015189849	iTX                     	Auto Play     
                                   	           	18:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	           	18:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76949201   	0 	        	SKY MKT - RegServ En Lines            	Baja 2 - 76949201           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076949201	iTX                     	Auto Play     
                                   	19:00:00.00	19:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	19:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	19:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	19:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	19:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	19:58:00.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    LCPNFLBBQSTIX20S    	0 	        	CARAT                                 	LCPNFLBBQSTIX20S            	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015188573	iTX                     	Manual Trigger
                                   	           	19:58:20.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    NUTRILEGALES        	0 	        	ARENA COMMUNICATIONS                  	NUTRILEGALES                	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015185466	iTX                     	Auto Play     
                                   	           	19:58:40.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    LUUNA20S            	0 	        	LUUNA                                 	LUUNA20S                    	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015181822	iTX                     	Auto Play     
                                   	           	19:59:00.00	Commercial Spot	00:00:30.00	        	00:00:00.00	 	    URNTWCMX3H          	0 	        	ACTIVE INTERNATIONAL                  	URNTWCMX3H                  	Used: 00:00:00.00    Rem: 00:00:30.00	SKSA-015188567	iTX                     	Auto Play     
                                   	           	19:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	20:00:00.00	20:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	20:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
